id,name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,availability_365,avg_rating,crime_level,crime_incidents_count
32319921,"Newly  Remodeled, Spacious California Home!",City of Los Angeles,Del Rey,33.99,-118.43,Private room,55,70,4.0,2.20454545454545,88
32404874,"3 bd 2 ba in quiet Del Rey, 5 mins from the beach",City of Los Angeles,Del Rey,33.99,-118.43,Entire home/apt,255,39,4.0,2.20454545454545,88
38996639,Culver hOMe with garden near Venice beach,Other Cities,Culver City,33.99,-118.43,Entire home/apt,275,173,3.75,2.20454545454545,88
40706869,"Private space | Playa Vista, Culver C, Venice Bch.",City of Los Angeles,Del Rey,33.99,-118.43,Private room,99,172,3.25,2.20454545454545,88
41112274,Del Rey/Culver City Dream Oasis - “Deb’s Place”,City of Los Angeles,Del Rey,33.99,-118.43,Private room,170,314,3.606,2.20454545454545,88
41691618,Beach House Master Bedroom,City of Los Angeles,Del Rey,33.99,-118.43,Private room,75,69,3.5,2.20454545454545,88
44151885,"Room #4 in clean, quiet, with private bathroom",City of Los Angeles,Del Rey,33.99,-118.43,Private room,70,365,3.75,2.20454545454545,88
44307708,[Just Listed!] Newly designed guest house,City of Los Angeles,Del Rey,33.99,-118.43,Entire home/apt,235,97,4.0,2.20454545454545,88
44340833,Charming Mar Vista Bungalow with Garden Oasis,City of Los Angeles,Del Rey,33.99,-118.43,Entire home/apt,250,6,3.0,2.20454545454545,88
45141373,Guest house with a lovely garden and tree house,City of Los Angeles,Del Rey,33.99,-118.43,Entire home/apt,186,152,3.0,2.20454545454545,88
7992,"Quiet,Walkable Area/Sanitized,New Kitchen,CozySpot",City of Los Angeles,Atwater Village,34.12,-118.26,Entire home/apt,89,39,3.75,2.46875,64
138244,The Garden of Edenhurst Guest House,City of Los Angeles,Atwater Village,34.12,-118.26,Entire home/apt,89,310,4.0,2.46875,64
336043,The Garden of Edenhurst in Atwater,City of Los Angeles,Atwater Village,34.12,-118.26,Entire home/apt,170,6,3.0,2.46875,64
2419745,Comfortable backhouse Cottage,City of Los Angeles,Atwater Village,34.12,-118.26,Entire home/apt,150,365,3.0,2.46875,64
4637876,Spacious Duplex/Quiet/Walkable Area/Central Locale,City of Los Angeles,Atwater Village,34.12,-118.26,Entire home/apt,155,293,3.438,2.46875,64
10708502,"Private Bedroom, Bath & TV Room",City of Los Angeles,Atwater Village,34.12,-118.26,Private room,54,339,4.0,2.46875,64
13942843,Zen Paradise for Groups/Families,City of Los Angeles,Atwater Village,34.12,-118.26,Entire home/apt,264,324,3.0,2.46875,64
17591446,Family Friendly Large Craftsman,Other Cities,Glendale,34.12,-118.26,Entire home/apt,170,56,4.0,2.46875,64
20936239,Charming Atwater Village Studio,City of Los Angeles,Atwater Village,34.12,-118.26,Entire home/apt,75,214,3.645,2.46875,64
22194742,Casita Monarca - A charming serene guest house,City of Los Angeles,Atwater Village,34.12,-118.26,Entire home/apt,89,68,3.474,2.46875,64
23377983,Private Spacious Studio with Backyard !!,City of Los Angeles,Atwater Village,34.12,-118.26,Entire home/apt,149,156,3.0,2.46875,64
26063373,Private Guesthouse Cottage in Atwater Village,City of Los Angeles,Atwater Village,34.12,-118.26,Entire home/apt,101,16,3.615,2.46875,64
33836033,Spanish 3Bdrm Home w/Pool in hip Atwater Village,City of Los Angeles,Atwater Village,34.12,-118.26,Entire home/apt,362,85,3.429,2.46875,64
35971598,"Airy House with Backyard Oasis, Kid & Pet Friendly",City of Los Angeles,Atwater Village,34.12,-118.26,Entire home/apt,190,16,3.652,2.46875,64
38555280,"New Clean, Bright & Beautiful 3 Story Pre-Fab Home",City of Los Angeles,Atwater Village,34.12,-118.26,Entire home/apt,309,6,3.467,2.46875,64
43374574,Lush Garden Oasis,City of Los Angeles,Atwater Village,34.12,-118.26,Entire home/apt,105,52,3.0,2.46875,64
43744857,Dwell Featured Designer Mid Century Modern House,City of Los Angeles,Atwater Village,34.12,-118.26,Entire home/apt,680,91,3.75,2.46875,64
